ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,423,"Chicago, IL",16000US1714000,chicago-il,678,0.00025065
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,1182,"Chicago, IL",16000US1714000,chicago-il,3938,0.001447498
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,8401,"Chicago, IL",16000US1714000,chicago-il,166771,0.061300337
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,1085,"Chicago, IL",16000US1714000,chicago-il,4236,0.001557035
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,2785,"Chicago, IL",16000US1714000,chicago-il,10720,0.003940371
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,12113,"Chicago, IL",16000US1714000,chicago-il,834048,0.306572627
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,17225,"Chicago, IL",16000US1714000,chicago-il,306587,0.112692773
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,298,"Chicago, IL",16000US1714000,chicago-il,396,0.000145558
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,437,"Chicago, IL",16000US1714000,chicago-il,293,0.000107699
0,White Alone,1,Hispanic or Latino,2015,2015,15616,"Chicago, IL",16000US1714000,chicago-il,437609,0.160852782
6,Two or More Races,0,Not Hispanic or Latino,2015,2015,4882.386814,"Chicago, IL",16000US1714000,chicago-il,46124,0.016953887
3,Asian Alone,1,Hispanic or Latino,2015,2015,742,"Chicago, IL",16000US1714000,chicago-il,1973,0.000725219
0,White Alone,0,Not Hispanic or Latino,2015,2015,14981,"Chicago, IL",16000US1714000,chicago-il,879318,0.323212608
6,Two or More Races,1,Hispanic or Latino,2015,2015,3774.589912,"Chicago, IL",16000US1714000,chicago-il,23499,0.008637573
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,1743,"Chicago, IL",16000US1714000,chicago-il,5044,0.001854033
5,Some Other Race Alone,1,Hispanic or Latino,2014,2014,16221,"Chicago, IL",16000US1714000,chicago-il,309574,0.113713343
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,1362,"Chicago, IL",16000US1714000,chicago-il,3628,0.001332644
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2014,2014,348,"Chicago, IL",16000US1714000,chicago-il,609,0.000223699
3,Asian Alone,1,Hispanic or Latino,2014,2014,931,"Chicago, IL",16000US1714000,chicago-il,1424,0.000523067
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2014,2014,1231,"Chicago, IL",16000US1714000,chicago-il,3939,0.001446881
6,Two or More Races,0,Not Hispanic or Latino,2014,2014,4089.977139,"Chicago, IL",16000US1714000,chicago-il,39655,0.014566154
5,Some Other Race Alone,0,Not Hispanic or Latino,2014,2014,1306,"Chicago, IL",16000US1714000,chicago-il,3818,0.001402435
0,White Alone,0,Not Hispanic or Latino,2014,2014,15859,"Chicago, IL",16000US1714000,chicago-il,866569,0.318309863
0,White Alone,1,Hispanic or Latino,2014,2014,14544,"Chicago, IL",16000US1714000,chicago-il,451400,0.165809153
3,Asian Alone,0,Not Hispanic or Latino,2014,2014,9896,"Chicago, IL",16000US1714000,chicago-il,163209,0.059950257
6,Two or More Races,1,Hispanic or Latino,2014,2014,3373.437564,"Chicago, IL",16000US1714000,chicago-il,25423,0.009338427
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2014,2014,382,"Chicago, IL",16000US1714000,chicago-il,403,0.000148031
1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,10013,"Chicago, IL",16000US1714000,chicago-il,842674,0.309532704
1,Black or African American Alone,1,Hispanic or Latino,2014,2014,2219,"Chicago, IL",16000US1714000,chicago-il,10082,0.00370334
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2013,2013,1371,"Chicago, IL",16000US1714000,chicago-il,3260,0.001199063
5,Some Other Race Alone,0,Not Hispanic or Latino,2013,2013,2233,"Chicago, IL",16000US1714000,chicago-il,5465,0.002010086
6,Two or More Races,0,Not Hispanic or Latino,2013,2013,3708.603241,"Chicago, IL",16000US1714000,chicago-il,41029,0.01509091
3,Asian Alone,0,Not Hispanic or Latino,2013,2013,7742,"Chicago, IL",16000US1714000,chicago-il,161919,0.059555559
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2013,2013,1105,"Chicago, IL",16000US1714000,chicago-il,2945,0.001083203
0,White Alone,1,Hispanic or Latino,2013,2013,16275,"Chicago, IL",16000US1714000,chicago-il,455318,0.167470885
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2013,2013,426,"Chicago, IL",16000US1714000,chicago-il,464,0.000170664
0,White Alone,0,Not Hispanic or Latino,2013,2013,15535,"Chicago, IL",16000US1714000,chicago-il,871317,0.320479817
6,Two or More Races,1,Hispanic or Latino,2013,2013,3780.820678,"Chicago, IL",16000US1714000,chicago-il,21269,0.007822968
5,Some Other Race Alone,1,Hispanic or Latino,2013,2013,13933,"Chicago, IL",16000US1714000,chicago-il,290196,0.106737227
1,Black or African American Alone,1,Hispanic or Latino,2013,2013,2792,"Chicago, IL",16000US1714000,chicago-il,11023,0.004054379
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2013,2013,271,"Chicago, IL",16000US1714000,chicago-il,663,0.000243859
1,Black or African American Alone,0,Not Hispanic or Latino,2013,2013,10446,"Chicago, IL",16000US1714000,chicago-il,852519,0.313565709
3,Asian Alone,1,Hispanic or Latino,2013,2013,892,"Chicago, IL",16000US1714000,chicago-il,1402,0.000515671
